scenario,attachment_size_kb,repeat,fact_to_remember,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed,memory_drift_score
growing,5,3,scope includes webhook delivery,14,2eda47d6-39db-429d-853c-1a225d77780b,62,0,13,0,0,2115,220,0.00020965,4,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes background jobs,15,2eda47d6-39db-429d-853c-1a225d77780b,62,0,13,0,0,2110,220,0.0002093,0,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes usage analytics,16,2eda47d6-39db-429d-853c-1a225d77780b,65,0,13,0,0,2109,220,0.00020923,2,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes onboarding checklist,17,2eda47d6-39db-429d-853c-1a225d77780b,70,0,13,0,0,2112,220,0.00020944,3,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes billing reconciliation,18,2eda47d6-39db-429d-853c-1a225d77780b,73,0,13,0,0,2116,220,0.00020972,0,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes incident notifications,19,2eda47d6-39db-429d-853c-1a225d77780b,60,0,13,0,0,2119,220,0.00020993,0,none,stress_fake,True,True,False,0.0
growing,5,3,project name: Nimbus Portal,20,2eda47d6-39db-429d-853c-1a225d77780b,107,0,13,0,0,2129,220,0.00021063,0,none,stress_fake,True,True,False,0.0
growing,20,1,project name: Nimbus Portal,1,fb146892-cbc4-4dbe-87d6-61538cc6f474,8200,19290,3,0,0,2051,220,0.00020517,31,none,stress_fake,True,True,False,0.0
growing,20,1,scope includes multi tenant workspaces,2,fb146892-cbc4-4dbe-87d6-61538cc6f474,83,0,5,0,0,418,220,9.086e-05,0,none,stress_fake,True,True,False,0.0
growing,20,1,scope includes audit log,3,fb146892-cbc4-4dbe-87d6-61538cc6f474,72,0,7,0,0,774,220,0.00011578,0,none,stress_fake,True,True,False,0.0
growing,20,1,scope includes CSV export,4,fb146892-cbc4-4dbe-87d6-61538cc6f474,57,0,9,0,0,1124,220,0.00014028,0,none,stress_fake,True,True,False,0.0
growing,20,1,scope includes reporting dashboard,5,fb146892-cbc4-4dbe-87d6-61538cc6f474,75,0,11,0,0,1475,220,0.00016485,0,none,stress_fake,True,True,False,0.0
growing,20,1,scope includes role permissions,6,fb146892-cbc4-4dbe-87d6-61538cc6f474,76,0,13,0,0,1831,220,0.00018977,0,none,stress_fake,True,True,False,0.0
growing,20,1,scope includes Slack alerts,7,fb146892-cbc4-4dbe-87d6-61538cc6f474,79,0,13,0,0,2187,220,0.00021469,0,none,stress_fake,True,True,False,0.0
